kibana  |     at createSetupSideEffects (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup.js:94:33)
kibana  |     at awaitIfPending (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup_utils.js:35:20)
kibana  |     at withLock (/usr/share/kibana/node_modules/@kbn/lock-manager/src/lock_manager_client.js:272:12)
kibana  |     at RetryOperation._fn (/usr/share/kibana/node_modules/p-retry/index.js:50:12)
kibana  | [2026-01-09T18:13:00.025+00:00][INFO ][plugins.fleet] Beginning fleet setup
kibana  | [2026-01-09T18:13:00.025+00:00][INFO ][plugins.fleet] Cleaning old indices
kibana  | [2026-01-09T18:13:00.556+00:00][WARN ][plugins.fleet] Fleet setup attempt 3 failed, will retry after backoff FleetEncryptedSavedObjectEncryptionKeyRequired: Agent binary source needs encrypted saved object api key to be set
kibana  |     at DownloadSourceService.create (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:88:13)
kibana  |     at DownloadSourceService.ensureDefault (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:235:25)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
kibana  |     at createSetupSideEffects (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup.js:94:33)
kibana  |     at awaitIfPending (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup_utils.js:35:20)
kibana  |     at withLock (/usr/share/kibana/node_modules/@kbn/lock-manager/src/lock_manager_client.js:272:12)
kibana  |     at RetryOperation._fn (/usr/share/kibana/node_modules/p-retry/index.js:50:12)
kibana  | [2026-01-09T18:13:04.859+00:00][INFO ][plugins.fleet] Beginning fleet setup
kibana  | [2026-01-09T18:13:04.860+00:00][INFO ][plugins.fleet] Cleaning old indices
kibana  | [2026-01-09T18:13:04.998+00:00][WARN ][plugins.fleet] Fleet setup attempt 4 failed, will retry after backoff FleetEncryptedSavedObjectEncryptionKeyRequired: Agent binary source needs encrypted saved object api key to be set
kibana  |     at DownloadSourceService.create (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:88:13)
kibana  |     at DownloadSourceService.ensureDefault (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:235:25)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
kibana  |     at createSetupSideEffects (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup.js:94:33)
kibana  |     at awaitIfPending (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup_utils.js:35:20)
kibana  |     at withLock (/usr/share/kibana/node_modules/@kbn/lock-manager/src/lock_manager_client.js:272:12)
kibana  |     at RetryOperation._fn (/usr/share/kibana/node_modules/p-retry/index.js:50:12)
kibana  | [2026-01-09T18:13:06.265+00:00][INFO ][plugins.fleet] Beginning fleet setup
kibana  | [2026-01-09T18:13:06.265+00:00][INFO ][plugins.fleet] Cleaning old indices
kibana  | [2026-01-09T18:13:06.337+00:00][WARN ][plugins.fleet] Fleet setup attempt 5 failed, will retry after backoff FleetEncryptedSavedObjectEncryptionKeyRequired: Agent binary source needs encrypted saved object api key to be set
kibana  |     at DownloadSourceService.create (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:88:13)
kibana  |     at DownloadSourceService.ensureDefault (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:235:25)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
kibana  |     at createSetupSideEffects (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup.js:94:33)
kibana  |     at awaitIfPending (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup_utils.js:35:20)
kibana  |     at withLock (/usr/share/kibana/node_modules/@kbn/lock-manager/src/lock_manager_client.js:272:12)
kibana  |     at RetryOperation._fn (/usr/share/kibana/node_modules/p-retry/index.js:50:12)
kibana  | [2026-01-09T18:13:12.507+00:00][INFO ][plugins.fleet] Beginning fleet setup
kibana  | [2026-01-09T18:13:12.507+00:00][INFO ][plugins.fleet] Cleaning old indices
kibana  | [2026-01-09T18:13:12.580+00:00][WARN ][plugins.fleet] Fleet setup attempt 6 failed, will retry after backoff FleetEncryptedSavedObjectEncryptionKeyRequired: Agent binary source needs encrypted saved object api key to be set
kibana  |     at DownloadSourceService.create (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:88:13)
kibana  |     at DownloadSourceService.ensureDefault (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:235:25)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
kibana  |     at createSetupSideEffects (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup.js:94:33)
kibana  |     at awaitIfPending (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup_utils.js:35:20)
